ID_placa,dish,INDIVIDUO,TRAT,days,germ,count,timeBef,timeAf
139_A2(10)_1,1,139,Self,12,0,0,0,12
139_A2(10)_1,1,139,Self,14,1,1,12,14
139_A2(10)_1,1,139,Self,16,6,5,14,16
139_A2(10)_1,1,139,Self,19,8,2,16,19
139_A2(10)_1,1,139,Self,21,9,1,19,21
139_A2(10)_1,1,139,Self,23,9,0,21,23
139_A2(10)_1,1,139,Self,26,9,0,23,26
139_A2(10)_1,1,139,Self,28,9,0,26,28
139_A2(10)_1,1,139,Self,30,9,0,28,30
139_A2(10)_2,2,139,Self,12,0,0,0,12
139_A2(10)_2,2,139,Self,14,3,3,12,14
139_A2(10)_2,2,139,Self,16,8,5,14,16
139_A2(10)_2,2,139,Self,19,9,1,16,19
139_A2(10)_2,2,139,Self,21,10,1,19,21
139_A2(10)_2,2,139,Self,23,10,0,21,23
139_A2(10)_2,2,139,Self,26,10,0,23,26
139_A2(10)_2,2,139,Self,28,10,0,26,28
139_A2(10)_2,2,139,Self,30,10,0,28,30
139_A3(10)_1,3,139,Self,12,0,0,0,12
139_A3(10)_1,3,139,Self,14,6,6,12,14
139_A3(10)_1,3,139,Self,16,9,3,14,16
139_A3(10)_1,3,139,Self,19,10,1,16,19
139_A3(10)_1,3,139,Self,21,10,0,19,21
139_A3(10)_1,3,139,Self,23,10,0,21,23
139_A3(10)_1,3,139,Self,26,10,0,23,26
139_A3(10)_1,3,139,Self,28,10,0,26,28
139_A3(10)_1,3,139,Self,30,10,0,28,30
139_C2(10)_1,4,139,Control,12,0,0,0,12
139_C2(10)_1,4,139,Control,14,0,0,12,14
139_C2(10)_1,4,139,Control,16,1,1,14,16
139_C2(10)_1,4,139,Control,19,3,2,16,19
139_C2(10)_1,4,139,Control,21,3,0,19,21
139_C2(10)_1,4,139,Control,23,3,0,21,23
139_C2(10)_1,4,139,Control,26,3,0,23,26
139_C2(10)_1,4,139,Control,28,3,0,26,28
139_C2(10)_1,4,139,Control,30,3,0,28,30
139_C2(10)_2,5,139,Control,12,0,0,0,12
139_C2(10)_2,5,139,Control,14,0,0,12,14
139_C2(10)_2,5,139,Control,16,0,0,14,16
139_C2(10)_2,5,139,Control,19,0,0,16,19
139_C2(10)_2,5,139,Control,21,0,0,19,21
139_C2(10)_2,5,139,Control,23,0,0,21,23
139_C2(10)_2,5,139,Control,26,0,0,23,26
139_C2(10)_2,5,139,Control,28,0,0,26,28
139_C2(10)_2,5,139,Control,30,0,0,28,30
139_C2(10)_3,6,139,Control,12,0,0,0,12
139_C2(10)_3,6,139,Control,14,0,0,12,14
139_C2(10)_3,6,139,Control,16,0,0,14,16
139_C2(10)_3,6,139,Control,19,0,0,16,19
139_C2(10)_3,6,139,Control,21,0,0,19,21
139_C2(10)_3,6,139,Control,23,0,0,21,23
139_C2(10)_3,6,139,Control,26,0,0,23,26
139_C2(10)_3,6,139,Control,28,0,0,26,28
139_C2(10)_3,6,139,Control,30,0,0,28,30
139_M2(10)_1,7,139,Mixed,12,5,5,0,12
139_M2(10)_1,7,139,Mixed,14,9,4,12,14
139_M2(10)_1,7,139,Mixed,16,10,1,14,16
139_M2(10)_1,7,139,Mixed,19,10,0,16,19
139_M2(10)_1,7,139,Mixed,21,10,0,19,21
139_M2(10)_1,7,139,Mixed,23,10,0,21,23
139_M2(10)_1,7,139,Mixed,26,10,0,23,26
139_M2(10)_1,7,139,Mixed,28,10,0,26,28
139_M2(10)_1,7,139,Mixed,30,10,0,28,30
139_M2(10)_2,8,139,Mixed,12,0,0,0,12
139_M2(10)_2,8,139,Mixed,14,4,4,12,14
139_M2(10)_2,8,139,Mixed,16,8,4,14,16
139_M2(10)_2,8,139,Mixed,19,8,0,16,19
139_M2(10)_2,8,139,Mixed,21,8,0,19,21
139_M2(10)_2,8,139,Mixed,23,8,0,21,23
139_M2(10)_2,8,139,Mixed,26,8,0,23,26
139_M2(10)_2,8,139,Mixed,28,8,0,26,28
139_M2(10)_2,8,139,Mixed,30,8,0,28,30
139_M2(10)_3,9,139,Mixed,12,5,5,0,12
139_M2(10)_3,9,139,Mixed,14,7,2,12,14
139_M2(10)_3,9,139,Mixed,16,9,2,14,16
139_M2(10)_3,9,139,Mixed,19,10,1,16,19
139_M2(10)_3,9,139,Mixed,21,10,0,19,21
139_M2(10)_3,9,139,Mixed,23,10,0,21,23
139_M2(10)_3,9,139,Mixed,26,10,0,23,26
