,individuo,tratamiento,TRAT,peso_semillas_mg,num_semillas,masa_num
LUT061 (Self F1),146,A1,self,0,6,0
LUT039 (Self F1),139,M1,mix,0,1,0
LUT061 (Self F1),146,Ex3,plastic_and_pollen,0,1,0
LUT061 (Self F1),146,Ex2,plastic_and_pollen,0,4,0
LUT019 (Self F1),150,M2,mix,0,1,0
LUT019 (Self F1),150,M3,mix,0,1,0
LUT019 (Self F1),150,M1,mix,0,1,0
LUT061 (Self F1),152,Ex2,plastic_and_pollen,0,1,0
LUT039 (Self F1),141,A3,self,0.356,58,0.006137931
LUT061 (Self F1),146,M1,mix,0.024,3,0.008
LUT061 (Self F1),146,A3,self,0.526,47,0.011191489
LUT039 (Self F1),141,A6,self,10.108,870,0.011618391
LUT061 (Self F1),146,A2,self,9.274,666,0.013924925
LUT039 (Self F1),139,A2,self,10.568,739,0.014300406
LUT039 (Self F1),139,A3,self,8.902,602,0.014787375
LUT039 (Self F1),139,C2,control,1.682,108,0.015574074
LUT039 (Self F1),141,A2,self,2.892,184,0.015717391
LUT019 (Self F1),142,Ex4,plastic_and_pollen,0.016,1,0.016
LUT061 (Self F1),146,C3,control,0.658,41,0.01604878
LUT039 (Self F1),141,A5,self,4.954,299,0.016568562
LUT019 (Self F1),142,M3,mix,0.034,2,0.017
LUT039 (Self F1),141,C3,control,2,109,0.018348624
LUT061 (Self F1),146,M3,mix,0.342,18,0.019
LUT039 (Self F1),153,M1,mix,0.536,25,0.02144
LUT019 (Self F1),142,M4,mix,0.068,3,0.022666667
LUT019 (Self F1),144,C1,control,1.248,55,0.022690909
LUT039 (Self F1),141,A1,self,1.062,45,0.0236
LUT019 (Self F1),142,C4,control,1.58,66,0.023939394
LUT061 (Self F1),152,A1,self,2.382,94,0.025340426
LUT061 (Self F1),152,A2,self,2.632,99,0.026585859
LUT019 (Self F1),144,A1,self,8.292,302,0.027456954
LUT061 (Self F1),139,M2,mix,1.528,55,0.027781818
LUT019 (Self F1),142,A2,self,0.848,29,0.029241379
LUT019 (Self F1),142,C3,control,0.118,4,0.0295
LUT019 (Self F1),142,C5,control,7.318,244,0.029991803
LUT019 (Self F1),142,A3,self,0.57,19,0.03
